patient_id,full_name,ssn,department,diagnosis,treatment_cost,admitted_date
PT-1000,Laura Williams,688-99-8579,Cardiology,Migraine,7576.25,2026-01-10
PT-1001,Karen Jones,485-56-2352,Oncology,Fracture,11862.66,2026-05-22
PT-1002,Renee Howard,458-73-4246,Radiology,Type 2 Diabetes,3255.0,2026-06-03
PT-1003,Rachel Newman,489-75-1549,Oncology,Type 2 Diabetes,13033.71,2026-02-16
PT-1004,Renee Williams,421-14-6750,Pediatrics,Fracture,12194.88,2026-03-28
PT-1005,Carrie Robbins,581-69-9543,Oncology,Type 2 Diabetes,4207.06,2026-01-11
PT-1006,Mrs. Nancy Walker DDS,223-24-6044,Oncology,Hypertension,5570.5,2026-08-28
PT-1007,Rebecca Webb,233-04-0608,Pediatrics,Asthma,2042.78,2026-08-15
PT-1008,Mary Fox,457-79-5899,Cardiology,Hypertension,6145.03,2026-09-03
PT-1009,Brendan Anderson,325-37-6377,Oncology,Asthma,5649.89,2026-03-17
PT-1010,Jean Cervantes,752-35-9922,Pediatrics,Asthma,9760.76,2026-01-17
PT-1011,Vincent Gibson,427-81-6124,Pediatrics,Asthma,13070.61,2026-04-10
PT-1012,Elizabeth Reed,241-04-2570,Oncology,Type 2 Diabetes,3388.69,2026-08-27
PT-1013,Steven Vargas,822-42-7053,Cardiology,Hypertension,14525.7,2026-03-22
PT-1014,Joel Harris,379-68-1896,Oncology,Asthma,6776.72,2026-05-22
PT-1015,David Durham,416-84-3506,Oncology,Fracture,8593.17,2026-02-03
PT-1016,Dominic Mann,160-07-9797,Radiology,Hypertension,12346.28,2026-03-21
PT-1017,Brian Walker,744-46-1757,Oncology,Hypertension,8290.75,2026-04-14
PT-1018,Michael Anderson,283-70-7573,Radiology,Migraine,14800.58,2026-03-17
PT-1019,Katherine Carter,433-18-8911,Radiology,Hypertension,3393.05,2026-04-21
PT-1020,Emma Williams,506-70-3004,Pediatrics,Type 2 Diabetes,10096.19,2026-06-05
PT-1021,Brad Leonard,400-66-6852,Radiology,Type 2 Diabetes,12910.24,2026-06-09
PT-1022,Katherine Johnson,462-15-8218,Radiology,Type 2 Diabetes,11001.36,2026-05-03
PT-1023,Heidi Schroeder,308-75-8237,Radiology,Fracture,12384.21,2026-04-01
PT-1024,Jordan Wright,667-38-7022,Cardiology,Type 2 Diabetes,14049.16,2026-01-01
